,type,id,key,value,action,details,url
0,node,26864258,wikidata,Q1537733,add_wikidata_label,"de,hy,ja,lt,ru,zh",https://www.openstreetmap.org/node/26864258
1,node,45160958,wikidata,Q948850,add_wikidata_label,"es,eu,ja,nb,pt,sv,cs",https://www.openstreetmap.org/node/45160958
2,node,45161413,wikidata,Q21330042,add_wikidata_label,"nl,sv,ca",https://www.openstreetmap.org/node/45161413
3,node,45188761,wikidata,Q7190459,add_wikidata_label,zh,https://www.openstreetmap.org/node/45188761
4,node,45193909,wikidata,Q7357513,add_wikidata_label,"en,eu,fr,nl,zh",https://www.openstreetmap.org/node/45193909
5,node,45194103,wikidata,Q3087278,add_wikidata_label,"es,pl,zh,cs",https://www.openstreetmap.org/node/45194103
6,node,45195597,wikidata,Q11941510,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/45195597
7,node,45195644,wikidata,Q17483560,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/45195644
8,node,53294601,wikidata,Q21330627,add_wikidata_label,"en,fr,it",https://www.openstreetmap.org/node/53294601
9,node,53376950,wikidata,Q7231065,add_wikidata_label,sv,https://www.openstreetmap.org/node/53376950
10,node,58957648,wikidata,Q1863,add_wikidata_label,"av,gu,hi,kn,ky,mn,pa,si,te,uz,cu",https://www.openstreetmap.org/node/58957648
11,node,64954377,wikidata,Q24650,add_wikidata_label,"fa,fi,it,oc,sq,vo",https://www.openstreetmap.org/node/64954377
12,node,64954382,wikidata,Q24625,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954382
13,node,64954385,wikidata,Q24611,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954385
14,node,64954389,wikidata,Q24551,add_wikidata_label,"ru,fa",https://www.openstreetmap.org/node/64954389
15,node,64954396,wikidata,Q1154347,add_wikidata_label,"en,es,it,nl",https://www.openstreetmap.org/node/64954396
16,node,64954400,wikidata,Q24641,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954400
17,node,64954404,wikidata,Q24413,add_wikidata_label,"fa,sr",https://www.openstreetmap.org/node/64954404
18,node,64954409,wikidata,Q24415,add_wikidata_label,"fa,pl",https://www.openstreetmap.org/node/64954409
19,node,64954415,wikidata,Q24562,add_wikidata_label,"fa,ru,uz",https://www.openstreetmap.org/node/64954415
20,node,64954422,wikidata,Q24371,add_wikidata_label,"ca,de,en,es,fa,fi,fr,hu,it,nl,oc,sv,ur",https://www.openstreetmap.org/node/64954422
21,node,64954433,wikidata,Q386802,add_wikidata_label,pl,https://www.openstreetmap.org/node/64954433
22,node,64954435,wikidata,Q24495,add_wikidata_label,"de,en,es,fa,fi,fr,it,nl,oc,rm,sq",https://www.openstreetmap.org/node/64954435
23,node,64954437,wikidata,Q24456,add_wikidata_label,"hu,ja,lt,nl,oc,ro,sr,uk,ar,cs,sv,da,de,el,en,eo,es,eu,fa,fi",https://www.openstreetmap.org/node/64954437
24,node,64954447,wikidata,Q24540,add_wikidata_label,"fa,fi,lt,pl,sv,ur",https://www.openstreetmap.org/node/64954447
25,node,64954451,wikidata,Q24490,add_wikidata_label,"fa,he,ja",https://www.openstreetmap.org/node/64954451
26,node,64954457,wikidata,Q24392,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954457
27,node,64954464,wikidata,Q24459,add_wikidata_label,"ja,fa,fi,vo",https://www.openstreetmap.org/node/64954464
28,node,64954467,wikidata,Q24556,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954467
29,node,64954472,wikidata,Q24475,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954472
30,node,64954477,wikidata,Q586510,add_wikidata_label,"ja,lt",https://www.openstreetmap.org/node/64954477
31,node,64954483,wikidata,Q24554,add_wikidata_label,"el,fa,ja,lt,zh",https://www.openstreetmap.org/node/64954483
32,node,64954492,wikidata,Q24447,add_wikidata_label,"it,lt,fa",https://www.openstreetmap.org/node/64954492
33,node,64954508,wikidata,Q24629,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954508
34,node,64954512,wikidata,Q24597,add_wikidata_label,"uk,cs,da,el,en,es,eu,fa,fi,gl,he,ja,lt,oc,pt,rm,sr,tr,zh,bg,ko",https://www.openstreetmap.org/node/64954512
35,node,64954515,wikidata,Q24558,add_wikidata_label,"zh,ja,fa,fi",https://www.openstreetmap.org/node/64954515
36,node,64954525,wikidata,Q24656,add_wikidata_label,"el,fa,lt,zh",https://www.openstreetmap.org/node/64954525
37,node,64954531,wikidata,Q24483,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954531
38,node,64954538,wikidata,Q24398,add_wikidata_label,"fa,he,ja,uk",https://www.openstreetmap.org/node/64954538
39,node,64954546,wikidata,Q24486,add_wikidata_label,"fa,ur",https://www.openstreetmap.org/node/64954546
40,node,64954554,wikidata,Q24622,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954554
41,node,64954560,wikidata,Q24478,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954560
42,node,64954563,wikidata,Q24276,add_wikidata_label,"ar,bg,bn,fa,gu,hi,hu,hy,it,ja,ka,kn,ko,lv,mk,mr,si,sr,ta,te,th,uk,ur,zh",https://www.openstreetmap.org/node/64954563
43,node,64954565,wikidata,Q24566,add_wikidata_label,fa,https://www.openstreetmap.org/node/64954565
44,node,64954570,wikidata,Q24499,add_wikidata_label,"fa,ja",https://www.openstreetmap.org/node/64954570
45,node,64954584,wikidata,Q24269,add_wikidata_label,"uk,ar,bg,bn,fa,gu,he,hi,hy,it,ja,ka,kn,ko,lv,mk,mr,si,ta,te,th",https://www.openstreetmap.org/node/64954584
46,node,64954589,wikidata,Q1050185,add_wikidata_label,"en,es,fr,uk,fa,he,it,ja,nb,nl,pt,sr,ur,zh",https://www.openstreetmap.org/node/64954589
47,node,64954593,wikidata,Q24668,add_wikidata_label,"fa,hy,uz",https://www.openstreetmap.org/node/64954593
48,node,64954598,wikidata,Q24630,add_wikidata_label,"fa,fi,sq,en,es,fr",https://www.openstreetmap.org/node/64954598
49,node,148874198,wikidata,Q228,add_wikidata_label,"gd,ht,iu,kv,ky,my,kg,mg,sh,ab,av,ba,ce,cu,cv,dv,om,os,pa,pi,ps,qu,rw,sa,sd,sm,ss,ug,wo,yi",https://www.openstreetmap.org/node/148874198
50,node,206332846,wikidata,Q738592,add_wikidata_label,"de,eu,it,nb,pt,sv",https://www.openstreetmap.org/node/206332846
51,node,268096174,wikidata,Q111877849,add_wikidata_label,en,https://www.openstreetmap.org/node/268096174
52,node,321651109,wikidata,Q17483010,add_wikidata_label,"pl,sv,en,nl",https://www.openstreetmap.org/node/321651109
53,node,366540873,wikidata,Q11941547,add_wikidata_label,"en,pl",https://www.openstreetmap.org/node/366540873
54,node,442881217,wikidata,Q111877841,add_wikidata_label,en,https://www.openstreetmap.org/node/442881217
55,node,442881670,wikidata,Q111112016,add_wikidata_label,en,https://www.openstreetmap.org/node/442881670
56,node,442881710,wikidata,Q111412168,add_wikidata_label,en,https://www.openstreetmap.org/node/442881710
57,node,442881842,wikidata,Q111877833,add_wikidata_label,en,https://www.openstreetmap.org/node/442881842
58,node,445583491,wikidata,Q7190457,add_wikidata_label,"es,fr,zh,cs",https://www.openstreetmap.org/node/445583491
59,node,482150309,wikidata,Q21329790,add_wikidata_label,pl,https://www.openstreetmap.org/node/482150309
60,node,576089613,wikidata,Q17483631,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/576089613
61,node,576090254,wikidata,Q11941508,add_wikidata_label,"es,cs",https://www.openstreetmap.org/node/576090254
62,node,576601861,wikidata,Q6906641,add_wikidata_label,de,https://www.openstreetmap.org/node/576601861
63,node,576601879,wikidata,Q17483202,add_wikidata_label,"es,sv,cs",https://www.openstreetmap.org/node/576601879
64,node,577180140,wikidata,Q11920489,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/577180140
65,node,579971917,wikidata,Q109517079,add_wikidata_label,sv,https://www.openstreetmap.org/node/579971917
66,node,579972546,wikidata,Q17483009,add_wikidata_label,"es,cs",https://www.openstreetmap.org/node/579972546
67,node,579972678,wikidata,Q11941529,add_wikidata_label,"fr,pl,sv",https://www.openstreetmap.org/node/579972678
68,node,590463661,wikidata,Q111412178,add_wikidata_label,en,https://www.openstreetmap.org/node/590463661
69,node,894259010,wikidata,Q28710886,add_wikidata_label,"ca,en,fr",https://www.openstreetmap.org/node/894259010
70,node,899525989,wikidata,Q18006178,add_wikidata_label,"ca,en,fr",https://www.openstreetmap.org/node/899525989
71,node,899526022,wikidata,Q3649136,add_wikidata_label,it,https://www.openstreetmap.org/node/899526022
72,node,899526058,wikidata,Q3649144,add_wikidata_label,"ca,fr,it",https://www.openstreetmap.org/node/899526058
73,node,899526219,wikidata,Q3931668,add_wikidata_label,"ca,en,fr,it",https://www.openstreetmap.org/node/899526219
74,node,901125108,wikidata,Q62467,add_wikidata_label,"ar,bg,bs,cs,de,en,es,eu,fa,fi,fr,gl,he,hr,it,ja,lt,mk,nb,nn,oc,pl,pt,ro,sk,sv,tr,uk,zh,ko",https://www.openstreetmap.org/node/901125108
75,node,1051748832,wikidata,Q111877872,add_wikidata_label,en,https://www.openstreetmap.org/node/1051748832
76,node,1102580806,wikidata,Q3382368,add_wikidata_label,"en,nl,pl,sv",https://www.openstreetmap.org/node/1102580806
77,node,1103938431,wikidata,Q17483012,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/1103938431
78,node,1103938469,wikidata,Q21329293,add_wikidata_label,"ca,en,fr,nl,sv",https://www.openstreetmap.org/node/1103938469
79,node,1304121512,wikidata,Q11952606,add_wikidata_label,sv,https://www.openstreetmap.org/node/1304121512
80,node,1329675216,wikidata,Q17481533,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/1329675216
81,node,1473165520,wikidata,Q21329274,add_wikidata_label,"en,nl,pl,sv,ca",https://www.openstreetmap.org/node/1473165520
82,node,1501227586,wikidata,Q3389075,add_wikidata_label,es,https://www.openstreetmap.org/node/1501227586
83,node,1868861762,wikidata,Q7260524,add_wikidata_label,"en,ja,nl,zh",https://www.openstreetmap.org/node/1868861762
84,node,1894423590,wikidata,Q2717368,add_wikidata_label,"sv,ca",https://www.openstreetmap.org/node/1894423590
85,node,2008250724,wikidata,Q11941543,add_wikidata_label,"fr,en,es,nb,nl,pl,cs",https://www.openstreetmap.org/node/2008250724
86,node,2008300324,wikidata,Q11952788,add_wikidata_label,"en,nl",https://www.openstreetmap.org/node/2008300324
87,node,2125730238,wikidata,Q746899,add_wikidata_label,"lt,fa",https://www.openstreetmap.org/node/2125730238
88,node,2125770584,wikidata,Q2536296,add_wikidata_label,"ja,ur",https://www.openstreetmap.org/node/2125770584
89,node,2188365876,wikidata,Q21330094,add_wikidata_label,fr,https://www.openstreetmap.org/node/2188365876
90,node,2188365878,wikidata,Q4563375,add_wikidata_label,pl,https://www.openstreetmap.org/node/2188365878
91,node,2188401642,wikidata,Q1864334,add_wikidata_label,"fr,ja",https://www.openstreetmap.org/node/2188401642
92,node,2188401647,wikidata,Q21329236,add_wikidata_label,"nl,sv,ca",https://www.openstreetmap.org/node/2188401647
93,node,2189429140,wikidata,Q21330538,add_wikidata_label,pl,https://www.openstreetmap.org/node/2189429140
94,node,2204991894,wikidata,Q21330410,add_wikidata_label,"nl,sv",https://www.openstreetmap.org/node/2204991894
95,node,2402829884,wikidata,Q111412172,add_wikidata_label,en,https://www.openstreetmap.org/node/2402829884
96,node,2880146181,wikidata,Q111877845,add_wikidata_label,en,https://www.openstreetmap.org/node/2880146181
97,node,2899149615,wikidata,Q2841713,add_wikidata_label,"ar,be,br,de,en,es,he,it,ru,sr,sv,uk",https://www.openstreetmap.org/node/2899149615
98,node,3269794936,wikidata,Q2986113,add_wikidata_label,"en,fr,ja,ru",https://www.openstreetmap.org/node/3269794936
99,node,3632502330,wikidata,Q21328906,add_wikidata_label,"nl,sv",https://www.openstreetmap.org/node/3632502330
100,node,3669894087,wikidata,Q3382394,add_wikidata_label,"en,nl,pl,sv",https://www.openstreetmap.org/node/3669894087
101,node,3671517543,wikidata,Q21330512,add_wikidata_label,"nl,sv",https://www.openstreetmap.org/node/3671517543
102,node,3671517544,wikidata,Q21329386,add_wikidata_label,"nl,sv",https://www.openstreetmap.org/node/3671517544
103,node,3732137518,wikidata,Q21330407,add_wikidata_label,"nl,sv",https://www.openstreetmap.org/node/3732137518
104,node,3844255703,wikidata,Q21330511,add_wikidata_label,"nl,sv",https://www.openstreetmap.org/node/3844255703
105,node,3870497793,wikidata,Q112017255,add_wikidata_label,en,https://www.openstreetmap.org/node/3870497793
106,node,3887374186,wikidata,Q21329826,add_wikidata_label,"en,nl,sv",https://www.openstreetmap.org/node/3887374186
107,node,3887374187,wikidata,Q21329826,add_wikidata_label,"ca,nl,sv",https://www.openstreetmap.org/node/3887374187
108,node,3904343028,wikidata,Q3649137,add_wikidata_label,it,https://www.openstreetmap.org/node/3904343028
109,node,4000702669,wikidata,Q21329193,add_wikidata_label,"nl,pl,sv",https://www.openstreetmap.org/node/4000702669
110,node,4235379090,wikidata,Q21330553,add_wikidata_label,sv,https://www.openstreetmap.org/node/4235379090
111,node,4340934040,wikidata,Q11941475,add_wikidata_label,"en,es,sv,cs",https://www.openstreetmap.org/node/4340934040
